image,prompt,edit_image
hr_image/image_0.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_0.jpg
hr_image/image_6.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_6.jpg
hr_image/image_16.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_16.jpg
hr_image/image_23.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_23.jpg
hr_image/image_8.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_8.jpg
hr_image/image_1.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_1.jpg
hr_image/image_12.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_12.jpg
hr_image/image_18.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_18.jpg
hr_image/image_5.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_5.jpg
hr_image/image_21.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_21.jpg